# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Fri Nov 21 12:41:12 2014
#
# Level,Ch,Index,m:s.ms.us,Len,Err,Bitrate,ID,Record,DLC,Data
0,A,260,0:12.814.270,1 B,,250 KHz,002,Data Frame,1,FF
0,A,261,0:12.814.506,1 B,,250 KHz,002,Data Frame,1,00
0,A,262,0:12.814.742,1 B,,250 KHz,002,Data Frame,1,01
0,A,263,0:12.814.979,1 B,,250 KHz,002,Data Frame,1,02
0,A,264,0:12.815.223,1 B,,250 KHz,002,Data Frame,1,03
0,A,265,0:12.815.463,1 B,,250 KHz,002,Data Frame,1,04
0,A,266,0:12.815.699,1 B,,250 KHz,002,Data Frame,1,05
0,A,267,0:12.816.016,1 B,,250 KHz,002,Data Frame,1,06
0,A,268,0:12.816.260,1 B,,250 KHz,002,Data Frame,1,07
0,A,269,0:12.816.496,1 B,,250 KHz,002,Data Frame,1,08
0,A,270,0:12.816.728,1 B,,250 KHz,002,Data Frame,1,09
0,A,271,0:12.816.960,1 B,,250 KHz,002,Data Frame,1,0A
0,A,272,0:12.817.197,1 B,,250 KHz,002,Data Frame,1,0B
0,A,273,0:12.817.433,1 B,,250 KHz,002,Data Frame,1,0C
0,A,274,0:12.817.665,1 B,,250 KHz,002,Data Frame,1,0D
0,A,275,0:12.817.897,1 B,,250 KHz,002,Data Frame,1,0E
0,A,276,0:12.818.130,1 B,,250 KHz,002,Data Frame,1,0F
0,A,277,0:12.831.725,1 B,,250 KHz,002,Data Frame,1,10
0,A,278,0:12.831.957,1 B,,250 KHz,002,Data Frame,1,11
0,A,279,0:12.832.189,1 B,,250 KHz,002,Data Frame,1,12
0,A,280,0:12.832.421,1 B,,250 KHz,002,Data Frame,1,13
0,A,281,0:12.832.658,1 B,,250 KHz,002,Data Frame,1,14
0,A,282,0:12.832.890,1 B,,250 KHz,002,Data Frame,1,15
0,A,283,0:12.833.206,1 B,,250 KHz,002,Data Frame,1,16
0,A,284,0:12.833.438,1 B,,250 KHz,002,Data Frame,1,17
0,A,285,0:12.833.671,1 B,,250 KHz,002,Data Frame,1,18
0,A,286,0:12.833.907,1 B,,250 KHz,002,Data Frame,1,19
0,A,287,0:12.834.139,1 B,,250 KHz,002,Data Frame,1,1A
0,A,288,0:12.834.371,1 B,,250 KHz,002,Data Frame,1,1B
0,A,289,0:12.834.604,1 B,,250 KHz,002,Data Frame,1,1C
0,A,290,0:12.834.836,1 B,,250 KHz,002,Data Frame,1,1D
0,A,291,0:12.835.068,1 B,,250 KHz,002,Data Frame,1,1E
